temp_cont,temp_cat, response 
10,low, 6.88 
10.5,low, 7.69 
11,low, 11.42 
11.5,low, 8.59 
12,low, 8.86 
12.5,low, 12.18 
13,low, 9.82 
13.5,low, 6.52 
14,low, 7.83 
14.5,low, 8.46 
15,low, 11.95 
15.5,low, 10.37 
16,low, 10.60 
16.5,med, 10.17 
17,med, 8.99 
17.5,med, 13.82 
18,med, 11.40 
18.5,med, 6.62 
19,med, 12.10 
19.5,med, 9.90 
20,med, 8.86 
20.5,med, 10.71 
21,med, 9.25 
21.5,med, 9.99 
22,med, 10.35 
22.5,med, 8.38 
23,med, 13.58 
23.5,high, 12.36 
24,high, 9.92 
24.5,high, 14.86 
25,high, 13.35 
25.5,high, 12.06 
26,high, 14.59 
26.5,high, 14.71 
27,high, 14.74 
27.5,high, 14.63 
28,high, 14.51 
28.5,high, 13.43 
29,high, 13.09 
29.5,high, 13.09 
30,high, 12.61 
